"year","fips","gini_uw","gini_w","iv_gini_uw","iv_gini_w"
2007,"01003",0.441222187630858,0.442068431088634,0.416458982538168,0.416515475101426
2007,"01015",0.442063762243579,0.443572532420875,0.437179304530038,0.43762507853474
2007,"01043",0.423879580281423,0.425152368299838,0.453908963559368,0.454340037845908
2007,"01049",0.45795570701043,0.459524203837536,0.421885665525125,0.422587390817545
2007,"01051",0.400512860201539,0.401408942798167,0.387267246244194,0.387426152694367
2007,"01055",0.438016860574075,0.439601441379539,0.428466898734006,0.429106700543646
2007,"01069",0.453572268344929,0.454847550972214,0.462150117014382,0.462492948156633
2007,"01073",0.466523020166077,0.467669654279455,0.464506446761827,0.464740960481969
2007,"01077",0.491051459917694,0.492624369971286,0.459101831568042,0.459528677667344
2007,"01081",0.44108325334278,0.442571846126619,0.476491431802357,0.477140025504892
2007,"01083",0.397638554141389,0.398647492540124,0.455584852580754,0.455877883895178
2007,"01089",0.435651369659017,0.436538109680411,0.433251137493762,0.433356541931106
2007,"01095",0.46688177133931,0.468442388441366,0.431912514314043,0.432384517575934
2007,"01097",0.455620812165181,0.457132430371253,0.461442760511841,0.461910422354263
2007,"01101",0.467969114133254,0.46909951549447,0.456723118621753,0.457069302029591
2007,"01103",0.409549354604255,0.410522446567533,0.458134278599789,0.458518234255028
2007,"01115",0.396168115083948,0.397185307553404,0.400009353918615,0.400287703630211
2007,"01117",0.414398407722665,0.415082400712648,0.414735075121459,0.414716836229032
2007,"01121",0.439461900005034,0.441119650301193,0.443168984446794,0.443801259176929
2007,"01125",0.452108204480833,0.453449656220652,0.500297708310019,0.500937187547144
2007,"01127",0.463631155935064,0.465214345418298,0.412139117208928,0.412611879720429
2007,"02020",0.402734817329771,0.399503259334766,0.409506982092571,0.409456859380858
2007,"02090",0.390454248594758,0.388155801355618,0.398069010450794,0.398211893303467
2007,"02170",0.392194239273989,0.390239753925456,0.387408532739728,0.387489298347097
2007,"04001",0.454405950241253,0.456966426005271,0.466032515782259,0.467471315277002
2007,"04003",0.405935032130834,0.406881518763839,0.449861646761395,0.450231803480547
2007,"04005",0.428482346594607,0.429211702177108,0.439537504695428,0.439687560286475
2007,"04013",0.423444033067274,0.423826727540031,0.426661665170838,0.42670585063546
2007,"04015",0.412379884827924,0.413150958213941,0.431303366562701,0.431489128930909
2007,"04017",0.414883569167086,0.416246198306273,0.43125849205131,0.431812828295081
2007,"04019",0.444779497387003,0.445608448869864,0.437623474520034,0.437781712534308
2007,"04021",0.381230856693119,0.38195689650771,0.391114253282325,0.391274572629397
2007,"04025",0.41254079010898,0.413249547762363,0.422416889730061,0.422574516921307
2007,"04027",0.409689728254903,0.410575142801824,0.421760942929145,0.422073756190259
2007,"05007",0.427816753057417,0.427729858560123,0.412984638485808,0.413039936566697
2007,"05031",0.44327522843799,0.443224385224977,0.440318422880336,0.440698962881354
2007,"05045",0.454321995102969,0.454415957157145,0.442542119864416,0.442737562432781
2007,"05051",0.476993780438953,0.47715049423114,0.45922025398772,0.45952422047451
2007,"05069",0.434506945455154,0.43416543753365,0.445569948504478,0.446435681175885
2007,"05119",0.454817863526398,0.454885671386788,0.458256683541333,0.458506445443401
2007,"05125",0.384965430717301,0.385042855351642,0.378934296776004,0.379044693378837
2007,"05131",0.455737329840988,0.455626834943527,0.442477361495182,0.442715332139078
2007,"05143",0.443284045198417,0.443317298317676,0.422927755440783,0.423169722439315
2007,"05145",0.426703719224841,0.42651876009298,0.425261915678708,0.425491129110999
2007,"06001",0.434141825781542,0.433920581147373,0.440016950386526,0.440063876774504
2007,"06007",0.449196121560208,0.448925545160064,0.43569139065028,0.435873110023008
2007,"06013",0.414612814484291,0.414386997467356,0.426415528205574,0.426367064722375
2007,"06017",0.407808228926747,0.407555442717421,0.411422351839291,0.411374451807413
2007,"06019",0.439490496425474,0.439253551265133,0.441218515310386,0.441450829004431
2007,"06023",0.442717780588183,0.442498674403876,0.428466837520189,0.428715303409686
2007,"06025",0.465603453111164,0.465368387246083,0.431770642713152,0.43195095457529
2007,"06029",0.425257135907626,0.42501073146587,0.440712166202632,0.440856114962186
2007,"06031",0.392705376895541,0.392515926001737,0.403100733429818,0.403094567813718
2007,"06033",0.437274527117463,0.437002219048421,0.389002053891985,0.389059842666782
2007,"06037",0.450516591928421,0.450275702134421,0.458694381402319,0.458775665036755
2007,"06039",0.424821095761177,0.42459402228529,0.432845614005176,0.433050678255163
2007,"06041",0.422968789414263,0.422729861134074,0.437462595680806,0.437402746015848
2007,"06045",0.421465923533175,0.421244337286237,0.450128981454762,0.450388479891639
2007,"06047",0.444024284416102,0.443778745787867,0.431029932799405,0.431247577934308
2007,"06053",0.41581605633832,0.415589705000687,0.422367773770989,0.422356023291657
2007,"06055",0.423423793967522,0.423214572959712,0.430523292748968,0.430599907981093
2007,"06057",0.38745270185117,0.387261711963152,0.425197936521849,0.425191697991609
2007,"06059",0.411620902299469,0.411392896822338,0.424878533568334,0.424837480945724
2007,"06061",0.398675885581159,0.398460387900654,0.411300676806885,0.411225088176495
2007,"06065",0.416288872309454,0.416085185077408,0.418627672332973,0.418651917615902
2007,"06067",0.407282605914395,0.407061211494478,0.416539615563618,0.416606322465099
2007,"06071",0.398627637782172,0.398422021633942,0.411098112751375,0.411158194500604
2007,"06073",0.423914418765159,0.423693204002738,0.432751458145828,0.43276550257404
2007,"06075",0.458598295487196,0.458351412019005,0.467720211769827,0.467776811326537
2007,"06077",0.420224378616603,0.419995357834963,0.423386308198849,0.423450137028923
