GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "56000","Wyoming",7,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",599773,641913,595468,575975,588388,676213,718120,690187,643954,632795,627516,643192,607669,574790,560142,516255,505148,525759
 "56000","Wyoming",7,CAGDP9,83,"...","Government and government enterprises","Thousands of chained 2012 dollars",4245649,4402033,4569172,4616164,4659317,4765992,5087509,5334189,5382256,5418655,5404336,5537518,5674697,5661553,5553513,5545796,5488996,5409848
 "56000","Wyoming",7,CAGDP9,87,"11, 21","Natural resources and mining","Thousands of chained 2012 dollars",9378564,9500945,9861325,10310020,11302350,13908504,14178983,14491835,15559833,13494605,12986253,10709265,11031037,10849139,11109329,10864222,11363995,10678554
 "56000","Wyoming",7,CAGDP9,88,"42, 44-45","Trade","Thousands of chained 2012 dollars",2598811,2767836,2852025,2817764,3025439,3296979,3517801,3702040,3389198,3313968,3388246,3610457,3659373,3780340,3747506,3573961,3453324,3472737
 "56000","Wyoming",7,CAGDP9,89,"...","Transportation and utilities","Thousands of chained 2012 dollars",2190683,2232240,2364839,2567325,2681934,2985857,3119056,3322018,3154182,3369154,3282423,3470778,3509629,3597264,3834881,3739015,3787353,3895595
 "56000","Wyoming",7,CAGDP9,90,"...","Manufacturing and information","Thousands of chained 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "56000","Wyoming",7,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",13698626,13077872,13596966,14051756,15046629,18157312,19632319,20842206,19960887,17839419,17130971,15232269,15088254,14836362,15620052,14502878,14911872,14376560
 "56000","Wyoming",7,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",11602732,12364354,12488447,12912774,13500475,14730707,15752237,16594953,16134241,16496259,16818534,17661928,17737391,18200055,18572925,17875036,17601176,18125571
 "56001","Albany, WY",7,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",1090869,1143931,1169728,1172739,1139210,1167088,1250957,1308817,1323914,1332438,1385510,1375626,1410991,1434069,1471859,1459455,1501425,1411472
 "56001","Albany, WY",7,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",666020,695508,688445,685632,675315,713924,776994,809492,817555,822314,877843,860775,878231,905206,954008,943638,993089,957598
 "56001","Albany, WY",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",32762,8434,26467,25396,11153,14679,15751,10933,22992,9283,(D),(D),35618,53244,89300,85429,62548,16218
 "56001","Albany, WY",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",1535,1994,4107,3774,2241,3733,3910,4486,5215,5175,6011,6376,6339,9360,8932,6786,8362,6803
 "56001","Albany, WY",7,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",3111,2493,2300,1864,2591,2688,(D),(D),3742,8246,10303,9902,9933,9430,8106,10333,9242,(D)
 "56001","Albany, WY",7,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",68100,66855,57972,68211,67539,65542,77254,73365,71388,60053,(D),(D),69873,77681,73291,68338,128725,69900
 "56001","Albany, WY",7,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",34329,30694,28224,26606,27816,29757,31855,35262,31347,29161,29335,29898,29164,28537,33756,35352,38178,39337
 "56001","Albany, WY",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",29222,25778,23109,21363,22446,23604,25981,28345,26519,25249,25930,26376,26034,25164,30031,31843,34443,35583
 "56001","Albany, WY",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",5025,4869,5125,5305,5418,6269,5897,6980,4824,3899,3405,3522,3123,3383,3719,3468,3685,3690
 "56001","Albany, WY",7,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",26117,26650,26280,(D),(D),(D),(D),(D),16789,18026,17016,17346,18571,19817,21428,22003,22259,22548
