"year","fips","gini_uw","gini_w","iv_gini_uw","iv_gini_w","total_population","land_area","pop_density","pop_65_74","pop_75_84","pop_85_up","black_pop","hispanic_pop","hh_inc","home_value","poor_renter_units","pov_universe","extreme_pov_pop","pov_pop","owner_units","burdened_owners1","burdened_owners2","poor_burdened_renters","renter_units","burdened_renters","med_rent_2br","real_gdp","rucc_2013","acs_gini","poverty_rate","extreme_pov_rate","pct_black","pct_hispanic","pct_burdened_owners","pct_burdened_renters","pct_poor_burdened"
2007,"01003",0.441222187630858,0.442068431088634,0.416458982538168,0.416515475101426,171769,107.601312807871,1596.3466942704,14610,10467,3113,17692,,49119,182100,3411,169255,5727,17391,53470,13707,7330,3206,12436,7025,691,5.283689,3,0.46000000834465,10.2750288026942,3.3836518862072,10.2998794893141,,25.634935477838,56.4892248311354,93.9900322486074
2007,"01015",0.442063762243579,0.443572532420875,0.437179304530038,0.43762507853474,113103,185.883626334317,608.46133804481,8605,6055,1659,22163,,37074,94200,5417,109826,8372,19092,32728,6938,3746,5035,11928,5784,521,4.49693,3,0.451999992132187,17.383861744942,7.62296723908728,19.5954130306004,,21.1989733561476,48.4909456740443,92.9481262691527
2007,"01043",0.423879580281423,0.425152368299838,0.453908963559368,0.454340037845908,80554,109.088491474603,738.428031326786,6991,3945,1789,377,,39095,106800,2391,80027,2676,10946,24213,5246,3454,1668,5303,2228,504,2.280234,4,0.44200000166893,13.6778837142464,3.34387144338786,0.468009037415895,,21.6660471647462,42.0139543654535,69.7616060225847
2007,"01049",0.45795570701043,0.459524203837536,0.421885665525125,0.422587390817545,68016,87.4339637588,777.912805001413,5101,3500,1033,671,,35680,82800,1978,67817,4566,14512,18909,3265,1842,1139,4990,1457,485,1.854515,6,0.46000000834465,21.3987643216303,6.73282510285032,0.986532580569278,,17.266909937067,29.1983967935872,57.5834175935288
2007,"01051",0.400512860201539,0.401408942798167,0.387267246244194,0.387426152694367,77525,124.787606534915,621.255605045272,4844,2788,1058,17233,,49495,139100,951,71712,3553,7456,19199,4648,2754,943,4391,1384,667,1.468534,2,0.400000005960464,10.3971441320839,4.95454038375725,22.228958400516,,24.2095942497005,31.5190161694375,99.1587802313354
2007,"01055",0.438016860574075,0.439601441379539,0.428466898734006,0.429106700543646,103217,192.993047650526,534.8223744666,8228,5742,2423,14753,,34637,95600,4684,101076,7587,18010,30934,6680,4174,3752,10045,4346,536,2.814999,3,0.44200000166893,17.818275357157,7.5062329336341,14.293188137613,,21.59436219047,43.265306122449,80.1024765157985
2007,"01069",0.453572268344929,0.454847550972214,0.462150117014382,0.462492948156633,97171,167.432378501278,580.359670392297,7423,4963,1891,24871,,40261,113800,3698,95324,4447,15217,25609,4730,2592,3056,9921,4158,504,4.354111,3,0.455000013113022,15.9634509672276,4.66514204187823,25.5950849533297,,18.4700691163263,41.9110976716057,82.6392644672796
2007,"01073",0.466523020166077,0.467669654279455,0.464506446761827,0.464740960481969,658779,592.103874983936,1112.60714180915,43496,32190,12124,270992,18975,44925,140000,28227,643631,38050,97622,180326,47360,30154,24819,77414,38975,619,39.871197,1,0.486999988555908,15.1673862818913,5.91177242861205,41.1354946044121,2.88032860792466,26.2635449131018,50.3461906115173,87.926453395685
2007,"01077",0.491051459917694,0.492624369971286,0.459101831568042,0.459528677667344,88561,132.287053480935,669.460825301119,7646,5361,1280,,,36899,102100,4101,87367,7869,16682,25980,5892,3630,3378,8199,3620,540,2.446101,3,0.488000005483627,19.0941659894468,9.00683324367324,,,22.6789838337182,44.151725820222,82.370153621068
2007,"01081",0.44108325334278,0.442571846126619,0.476491431802357,0.477140025504892,130516,214.413998842793,608.71025541431,6486,3523,1232,29406,,39355,135500,8466,124860,12113,22074,33535,8345,3722,7036,20145,10169,589,4.072523,3,0.456999987363815,17.6790004805382,9.70126541726734,22.5305709644795,,24.8844490830476,50.4790270538595,83.1089062130876
