GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US45013,45013,"Beaufort County, South Carolina",55981,2065,3316,1021,2494,722,2377,771,3417,970,3643,888,3827,1077,3222,954,2535,725,2774,792,4994,1316,4846,1162,7037,1178,4146,1045,2690,869,1469,525,3194,635
0500000US45015,45015,"Berkeley County, South Carolina",55914,1667,3492,927,2769,879,2913,929,3109,887,4356,1078,1934,657,2889,942,3359,874,3892,1125,5886,1189,7836,1225,7226,1119,3010,929,1342,502,1111,429,790,427
0500000US45019,45019,"Charleston County, South Carolina",136818,2738,14588,1755,8497,1251,8101,1497,7485,1293,7984,1483,8618,1598,7088,1384,7399,1302,5436,1039,11501,1829,12507,1713,13901,1881,7411,1249,4520,1016,4958,928,6824,1026
0500000US45031,45031,"Darlington County, South Carolina",24024,1453,2083,684,2080,666,1594,564,1588,596,2596,795,1126,457,1695,649,2145,696,1223,478,2073,761,1889,597,1892,560,573,313,873,423,348,284,246,230
0500000US45035,45035,"Dorchester County, South Carolina",41657,1229,2110,760,1836,613,2062,971,2773,942,2261,823,2510,752,1897,770,2813,740,2448,817,4672,926,5196,1062,6423,1090,2392,656,1284,584,712,364,268,228
0500000US45041,45041,"Florence County, South Carolina",48343,1234,5361,1029,3525,852,3370,896,3603,953,3396,742,3013,758,2854,814,2703,760,2308,697,3957,1000,4207,961,4645,1036,3142,711,926,377,615,316,718,352
0500000US45045,45045,"Greenville County, South Carolina",163129,2855,14203,2213,11700,1860,11198,1722,11609,1835,8996,1412,9832,1519,9365,1577,9982,1601,8472,1391,11951,1554,15138,2024,17626,1509,9520,1204,4657,1095,3658,760,5222,968
0500000US45047,45047,"Greenwood County, South Carolina",25045,1398,2398,689,1653,619,2718,864,831,348,2214,729,1592,689,1491,657,1292,501,1361,511,1672,569,2131,664,2679,758,1450,529,381,240,746,400,436,293
0500000US45051,45051,"Horry County, South Carolina",106901,3377,8780,1535,8273,1750,5829,1214,7004,1552,7908,1832,7279,1268,6948,1479,7906,1622,4980,1061,8310,1473,11612,1628,11363,1766,5092,1104,2500,724,1350,615,1767,631
0500000US45059,45059,"Laurens County, South Carolina",26136,1301,3416,966,2928,840,2143,785,1305,518,2101,613,1234,538,1240,481,1281,639,1603,642,1952,644,2588,691,2325,675,1337,601,342,273,219,177,122,146
0500000US45063,45063,"Lexington County, South Carolina",94578,1718,5489,1284,4741,916,5904,1358,5351,1201,4597,1135,6456,1538,5415,884,4640,1035,4563,1034,8515,1364,11795,1496,12284,1717,6971,1265,3583,860,1963,586,2311,648
0500000US45073,45073,"Oconee County, South Carolina",28087,1510,2593,743,2304,697,2192,855,1057,487,2453,867,2176,766,1378,606,1641,580,1554,656,2350,698,2466,569,3181,811,1081,467,682,393,570,335,409,328
0500000US45075,45075,"Orangeburg County, South Carolina",33207,1548,7073,1393,2878,914,1848,616,2113,793,2795,756,2159,786,2390,793,2339,937,1066,410,2591,827,1701,500,2725,640,828,488,175,174,182,160,344,265
