GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,I2LE001,I2LE002,I2LE003,I2LE004,I2LE005,I2LE006,I2LE007,I2LE008,I2LE009,I2LE010,I2LE011,I2LE012,I2LE013,I2LE014,I2LE015,I2LE016,I2LE017,NAME_M,I2LM001,I2LM002,I2LM003,I2LM004,I2LM005,I2LM006,I2LM007,I2LM008,I2LM009,I2LM010,I2LM011,I2LM012,I2LM013,I2LM014,I2LM015,I2LM016,I2LM017
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,Combined New England City and Town Area Code,NECTA Division Code,Urban Area Code,Congressional District (111th Congress) Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Public Use Microdata Sample Area (PUMA) Code,Estimates: Area Name,Estimates: Total,"Estimates: Less than $10,000","Estimates: $10,000 to $14,999","Estimates: $15,000 to $19,999","Estimates: $20,000 to $24,999","Estimates: $25,000 to $29,999","Estimates: $30,000 to $34,999","Estimates: $35,000 to $39,999","Estimates: $40,000 to $44,999","Estimates: $45,000 to $49,999","Estimates: $50,000 to $59,999","Estimates: $60,000 to $74,999","Estimates: $75,000 to $99,999","Estimates: $100,000 to $124,999","Estimates: $125,000 to $149,999","Estimates: $150,000 to $199,999","Estimates: $200,000 or more",Margins of error: Area Name,Margins of error: Total,"Margins of error: Less than $10,000","Margins of error: $10,000 to $14,999","Margins of error: $15,000 to $19,999","Margins of error: $20,000 to $24,999","Margins of error: $25,000 to $29,999","Margins of error: $30,000 to $34,999","Margins of error: $35,000 to $39,999","Margins of error: $40,000 to $44,999","Margins of error: $45,000 to $49,999","Margins of error: $50,000 to $59,999","Margins of error: $60,000 to $74,999","Margins of error: $75,000 to $99,999","Margins of error: $100,000 to $124,999","Margins of error: $125,000 to $149,999","Margins of error: $150,000 to $199,999","Margins of error: $200,000 or more"
"G1301350","2010",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,"Gwinnett County, Georgia",267068,12428,10636,11866,11497,12720,16373,13173,13618,13633,21709,31421,35353,25259,13100,15164,9118,"Gwinnett County, Georgia",2693,1904,1892,1813,1722,1975,2224,2081,2019,1993,2660,3002,3028,2549,1586,2071,1402
"G1301390","2010",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,"Hall County, Georgia",60969,3921,3311,3876,3547,4228,3467,3269,2949,3949,5784,5586,7306,3763,1597,2865,1551,"Hall County, Georgia",1926,1118,938,1109,915,1003,1155,955,960,1175,1304,1157,1243,1047,620,716,680
"G1301510","2010",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,"Henry County, Georgia",68821,4372,2245,2563,3737,2803,2425,3669,3300,3293,6830,8954,10737,7055,3079,2069,1690,"Henry County, Georgia",1662,1430,684,694,1145,930,829,1023,1068,1155,1541,1717,1601,1487,863,795,788
"G1301530","2010",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,"Houston County, Georgia",50823,3365,2490,2067,3081,2662,2253,3085,1696,1662,3399,8268,7870,4989,1355,1569,1012,"Houston County, Georgia",1845,968,872,670,923,873,888,847,526,729,881,1494,1547,1086,516,649,616
"G1301850","2010",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,"Lowndes County, Georgia",39743,4640,2469,3064,3936,2962,2133,1916,2231,1562,3957,2951,3470,2747,716,600,389,"Lowndes County, Georgia",1585,1071,687,807,932,955,805,676,816,643,917,728,832,763,386,295,252
"G1302150","2010",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,"Muscogee County, Georgia",72407,9232,6118,5314,5661,4494,5028,3666,3199,2781,4734,6664,6540,3400,2253,1473,1850,"Muscogee County, Georgia",2555,1242,1222,1167,1044,995,1233,884,1016,652,943,1175,928,760,714,557,605
"G1302170","2010",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,"Newton County, Georgia",35039,3082,2017,1464,1803,2016,2542,1506,1682,1651,4204,3566,4629,2881,813,652,531,"Newton County, Georgia",1202,924,708,521,813,910,845,578,649,607,958,891,975,1008,444,366,336
"G1302230","2010",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,"Paulding County, Georgia",47343,1741,1455,2375,2684,1964,2161,1321,3412,2363,4109,8396,6480,4621,1736,1819,706,"Paulding County, Georgia",1335,787,693,943,1022,679,672,597,949,819,931,1502,1081,887,497,588,384
"G1302450","2010",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,"Richmond County, Georgia",72293,8878,6175,5686,4005,4336,3985,3769,3526,4329,6066,7758,6313,3139,1632,1550,1146,"Richmond County, Georgia",2922,1363,1115,1375,923,1147,1081,1019,900,995,1413,1431,1217,998,621,628,529
"G1302470","2010",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,"Rockdale County, Georgia",28997,1768,1023,1322,795,1572,1581,1885,917,1378,2642,3739,4809,2477,1060,1059,970,"Rockdale County, Georgia",1196,781,474,604,455,723,705,765,484,689,877,875,1065,734,489,631,384
"G1302850","2010",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,"Troup County, Georgia",24697,2982,1444,1645,1274,1570,1828,1156,940,997,2025,2734,3238,1495,619,556,194,"Troup County, Georgia",1245,824,596,617,547,521,651,495,503,528,797,735,951,620,347,323,160
"G1302950","2010",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,"Walker County, Georgia",26286,1935,2558,1986,2049,1628,2563,1578,1659,1463,1913,1963,2780,1055,317,542,297,"Walker County, Georgia",1356,765,766,702,729,662,853,601,806,581,650,634,868,499,217,374,224
"G1302970","2010",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,"Walton County, Georgia",29114,3190,1361,1623,944,1674,1554,1086,1584,1487,1996,2916,4762,3080,856,745,256,"Walton County, Georgia",1128,1024,501,720,535,694,702,484,672,678,672,868,1053,805,386,489,375
"G1303130","2010",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,"Whitfield County, Georgia",34700,2070,2628,3560,2787,2054,2221,2276,1389,1343,2756,4172,3451,1972,804,572,645,"Whitfield County, Georgia",1891,679,899,1163,883,747,768,902,605,552,910,1176,893,897,491,294,376
"G1500010","2010",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,"Hawaii County, Hawaii",62584,6643,4112,3166,4831,2227,2951,3129,2846,2714,5241,6405,7865,4316,2484,2283,1371,"Hawaii County, Hawaii",2178,1274,1071,860,1001,712,714,722,818,699,1226,1105,1286,979,680,746,461
"G1500030","2010",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,"Honolulu County, Hawaii",309154,17010,9793,10260,12999,11818,12187,11971,13438,12583,23373,31979,46337,34329,23205,19912,17960,"Honolulu County, Hawaii",3342,2025,1694,1771,2086,1545,1769,1694,1691,1736,2200,2370,2865,2689,2429,2201,1545
"G1500070","2010",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,"Kauai County, Hawaii",22147,1563,894,809,1336,919,838,1093,1018,1169,2646,2572,2714,1531,1105,825,1115,"Kauai County, Hawaii",1255,525,556,370,544,474,336,526,387,581,860,744,650,583,449,410,548
"G1500090","2010",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,"Maui County, Hawaii",51893,2370,2140,2161,2277,2530,2631,2492,2641,2168,4238,5590,7401,5119,3118,2406,2611,"Maui County, Hawaii",2326,771,870,816,798,862,1018,793,893,714,942,1331,1311,1194,965,745,863
"G1600010","2010",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,"Ada County, Idaho",149351,9311,7875,7211,8506,9071,8277,8439,8880,6060,12874,17073,18505,10885,5649,6281,4454,"Ada County, Idaho",2032,1534,1385,1391,1310,1430,1498,1692,1388,1282,2027,2032,1999,1388,1144,1116,1052
"G1600050","2010",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,"Bannock County, Idaho",29530,3409,1886,1566,1838,2493,2031,1893,1099,1081,2412,3251,3148,1709,723,608,383,"Bannock County, Idaho",1250,952,764,650,672,1028,707,806,482,448,656,845,674,522,472,328,262
"G1600190","2010",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,"Bonneville County, Idaho",35003,1971,2664,1552,2355,2041,1706,1918,1799,1703,3629,4106,4648,1872,1376,952,711,"Bonneville County, Idaho",1217,799,865,523,748,546,567,597,628,556,961,923,868,493,483,405,304
"G1600270","2010",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,"Canyon County, Idaho",61699,5022,4791,3580,4759,2859,4242,3187,3683,3032,7681,6671,5709,3203,1280,805,1195,"Canyon County, Idaho",1918,1312,967,1126,996,884,890,756,855,761,1472,1175,848,781,488,380,620
"G1600550","2010",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,"Kootenai County, Idaho",55456,3209,4577,3194,2822,5079,4022,3682,2590,3302,4723,5822,6274,2254,1751,980,1175,"Kootenai County, Idaho",1801,965,1105,890,896,1071,1166,1017,782,1008,934,1083,1206,724,683,486,605
"G1600830","2010",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,"Twin Falls County, Idaho",29602,1844,2033,1815,1514,2642,1986,1902,1934,1765,3118,3494,3236,1466,470,217,166,"Twin Falls County, Idaho",1469,763,805,757,602,810,718,662,671,720,800,821,760,440,328,185,164
"G1700010","2010",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,"Adams County, Illinois",26538,1460,2470,1864,2009,1963,1910,1347,1472,942,2583,2900,2530,900,859,471,858,"Adams County, Illinois",985,487,717,640,623,660,634,514,545,386,709,694,626,399,369,235,357
"G1700190","2010",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,"Champaign County, Illinois",78501,9619,4562,4867,4519,3839,5121,3076,3472,3148,6039,6800,9241,5072,3007,3408,2711,"Champaign County, Illinois",3814,1649,1055,1124,972,923,1387,787,986,977,1194,1166,1336,1001,689,913,684
"G1700310","2010",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,"Cook County, Illinois",1922125,164778,98264,112273,109049,93202,95636,89975,91367,78568,144815,196210,227542,148198,87288,86931,98029,"Cook County, Illinois",9303,6176,5326,5408,4764,4886,4731,3967,5230,4290,6437,6476,7698,5259,4163,4012,4301
"G1700370","2010",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,"DeKalb County, Illinois",37688,2520,2769,2487,2589,1563,2407,1423,1931,886,2938,4401,4721,3527,1601,1411,514,"DeKalb County, Illinois",1532,872,866,989,826,631,821,531,731,396,898,1072,870,823,676,555,300
"G1700430","2010",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,"DuPage County, Illinois",333295,10773,7845,9432,14416,14167,15033,13146,12676,13544,26353,33213,47541,37008,24208,27168,26772,"DuPage County, Illinois",3498,1666,1505,1584,1766,2098,1987,2002,2113,2119,2530,2933,3078,2128,2226,2286,1932
"G1700890","2010",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,"Kane County, Illinois",169897,6333,5729,5433,9671,6809,8117,7477,8618,7389,13089,16540,24368,16162,11642,12597,9923,"Kane County, Illinois",2367,1306,1371,1316,1649,1252,1602,1322,1756,1609,2001,2613,2333,1476,1622,1475,1537
"G1700910","2010",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,"Kankakee County, Illinois",42046,3188,2894,2156,2632,2150,2608,2567,2935,1068,3196,4547,6064,3338,1169,799,735,"Kankakee County, Illinois",1286,884,740,687,747,776,604,891,750,432,799,818,1046,896,411,412,337
"G1700930","2010",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,"Kendall County, Illinois",38711,1072,891,629,815,1508,1297,723,1840,1897,3391,4191,7228,5672,3475,2597,1485,"Kendall County, Illinois",885,492,583,357,481,602,505,401,705,828,943,897,1224,1108,967,787,530
"G1700970","2010",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,"Lake County, Illinois",238063,10636,5554,8598,9080,9501,9465,9983,10033,9190,16317,21059,33509,26463,16622,19049,23004,"Lake County, Illinois",2808,1503,1204,1633,1553,1586,1456,1562,1594,1434,1731,2148,2705,2629,1885,1895,2003
"G1700990","2010",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,"LaSalle County, Illinois",43515,2798,3597,2180,2799,1704,2066,1999,2600,1889,3395,6051,6378,3244,1474,768,573,"LaSalle County, Illinois",1290,728,852,588,579,504,729,663,847,570,782,1185,1170,655,465,330,298
"G1701110","2010",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,"McHenry County, Illinois",109064,3838,2655,3590,4489,3899,4869,4475,4655,4428,9338,12635,18459,12107,7060,8217,4350,"McHenry County, Illinois",1520,890,773,981,1124,931,1206,980,1242,1010,1231,1684,1916,1483,1101,1359,807
"G1701130","2010",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,"McLean County, Illinois",61576,4285,2874,2019,3480,3211,3292,2104,2224,2383,5047,6777,8192,6042,3205,3813,2628,"McLean County, Illinois",2058,1036,824,597,895,1009,771,506,712,680,837,1298,1314,1009,911,872,747
"G1701150","2010",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,"Macon County, Illinois",45624,3820,3554,2798,3969,3031,2718,2441,2332,2480,3663,3921,5872,2591,917,641,876,"Macon County, Illinois",1351,877,962,774,965,782,727,623,659,816,799,792,942,553,403,296,323
"G1701190","2010",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,"Madison County, Illinois",106643,7514,6028,7233,5365,5944,4777,5343,5429,3555,10075,11888,13294,8891,4229,4511,2567,"Madison County, Illinois",2079,1490,987,1343,1067,1172,914,1110,1215,736,1570,1517,1481,1376,1049,1010,909
"G1701430","2010",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,"Peoria County, Illinois",75501,6311,3927,2886,5004,3702,3066,4001,4192,4216,7061,8601,9273,5514,2695,2219,2833,"Peoria County, Illinois",2875,1176,1053,731,1161,1040,878,953,996,902,1293,1437,1319,1020,696,552,696
"G1701610","2010",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,"Rock Island County, Illinois",60478,4594,2311,4221,4583,3834,4021,3671,3000,3201,4931,6258,7462,3943,1560,1202,1686,"Rock Island County, Illinois",1495,921,694,883,882,924,919,776,789,762,883,914,1170,654,713,480,515
"G1701630","2010",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,"St. Clair County, Illinois",103601,9118,6687,6882,6471,5824,4755,5222,5132,3769,9516,10114,11734,8312,4375,3389,2301,"St. Clair County, Illinois",2073,1301,1201,1199,1188,1235,1116,1152,1231,947,1452,1495,1724,1594,982,817,649
"G1701670","2010",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,"Sangamon County, Illinois",83508,5758,4943,4464,4063,4749,5766,4333,4678,2884,7005,9007,10038,6582,3310,3420,2508,"Sangamon County, Illinois",1612,1298,1108,1157,977,1071,1274,882,1135,830,1342,1324,1254,1172,897,743,668
"G1701790","2010",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,"Tazewell County, Illinois",54041,2215,3351,3029,3286,3037,2929,2713,2984,3509,5199,5929,7326,4411,1928,1319,876,"Tazewell County, Illinois",1393,539,930,819,717,774,838,642,696,764,1236,1349,1124,1046,537,476,375
"G1701830","2010",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,"Vermilion County, Illinois",31332,3211,2019,2830,2315,1640,2299,2281,1288,1848,2815,3134,3503,1238,359,400,152,"Vermilion County, Illinois",1123,834,726,642,743,480,663,586,411,610,803,595,830,365,206,251,158
"G1701970","2010",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,"Will County, Illinois",223108,8026,5122,8792,9673,9394,10516,8077,8650,8399,16864,23450,37086,27002,16211,17330,8516,"Will County, Illinois",2427,1159,1178,1526,1851,1649,1514,1413,1708,1479,2102,2645,3210,2020,1746,1903,1258
"G1701990","2010",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,"Williamson County, Illinois",25953,2147,1466,1616,2346,1388,1975,1007,1525,1089,1649,3557,3027,1445,740,460,516,"Williamson County, Illinois",1127,572,445,628,626,509,815,381,625,369,509,793,635,463,340,274,349
"G1702010","2010",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,"Winnebago County, Illinois",111079,10809,6812,7089,7918,6397,5947,5425,6375,4506,9836,12048,12617,6523,3611,3528,1638,"Winnebago County, Illinois",2245,1539,1277,1332,1367,1219,969,1141,1168,849,1375,1813,1581,971,827,821,601
"G1800030","2010",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,"Allen County, Indiana",136208,9401,5944,7269,8012,9452,9087,8416,7623,6521,13671,14484,16651,8505,4548,3600,3024,"Allen County, Indiana",2742,1183,970,1462,1206,1551,1606,1299,1101,1029,1673,1377,1568,1404,990,733,588
"G1800050","2010",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,"Bartholomew County, Indiana",31046,1775,2001,2089,2116,1928,1498,1942,948,1622,3298,3568,3373,1824,1754,548,762,"Bartholomew County, Indiana",1064,737,808,626,758,753,433,627,460,658,928,968,900,600,586,311,352
"G1800190","2010",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,"Clark County, Indiana",43571,2146,1579,2762,3261,2061,3373,3798,3284,1843,3178,4982,5291,2977,1419,915,702,"Clark County, Indiana",1180,599,552,757,926,638,903,981,902,645,742,1008,1295,787,543,387,348
"G1800350","2010",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,"Delaware County, Indiana",46933,4631,3858,4058,3626,3087,3617,2363,2693,1754,3454,5316,3751,2391,1023,720,591,"Delaware County, Indiana",1580,1008,972,870,852,732,812,638,858,697,730,957,837,737,487,305,369
"G1800390","2010",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,"Elkhart County, Indiana",67959,5967,3532,3868,3847,5012,4837,4666,4752,2966,7484,6856,6721,3100,2047,1097,1207,"Elkhart County, Indiana",2217,1387,893,915,906,1173,1180,1239,1189,778,1292,1078,1220,765,733,585,471
"G1800430","2010",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,"Floyd County, Indiana",28793,2323,1347,1575,1763,1624,1302,1629,2066,1357,2555,3234,3359,2233,914,734,778,"Floyd County, Indiana",1809,636,623,646,776,535,565,571,674,614,681,906,713,806,378,380,343
"G1800530","2010",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,"Grant County, Indiana",26767,2806,1994,2495,2241,1863,2151,1323,1492,1467,1989,2742,2245,1349,123,257,230,"Grant County, Indiana",1231,678,740,704,601,619,618,491,439,488,639,735,668,447,136,233,196
"G1800570","2010",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,"Hamilton County, Indiana",100316,3188,2100,3043,3726,3027,3424,4077,4133,3594,7124,9788,15613,12979,7964,7918,8618,"Hamilton County, Indiana",1518,1038,770,1024,1135,845,988,1104,989,843,1475,1898,1796,1671,1474,1375,1174
"G1800590","2010",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,"Hancock County, Indiana",26272,1288,1771,1069,1001,1498,973,901,1703,1001,2070,4016,3683,2622,797,787,1092,"Hancock County, Indiana",728,594,683,544,526,643,471,384,575,456,670,1004,818,753,435,430,435
"G1800630","2010",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,"Hendricks County, Indiana",52406,2097,1095,1496,2228,2118,2013,3334,2829,2458,4487,6161,8393,5474,3923,2342,1958,"Hendricks County, Indiana",1199,817,453,622,886,783,662,961,856,785,857,1008,1238,1016,878,696,550
"G1800670","2010",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,"Howard County, Indiana",34381,2757,2719,3017,2775,3623,1808,1427,1891,1058,2540,2922,4413,1979,645,320,487,"Howard County, Indiana",1186,861,944,761,842,859,652,578,643,445,573,658,943,620,326,224,265
"G1800810","2010",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,"Johnson County, Indiana",52728,2410,1706,3329,2906,2612,2898,2098,2400,2002,4593,6172,8369,4736,2580,2135,1782,"Johnson County, Indiana",1524,788,602,933,742,719,985,713,792,586,1033,1107,1338,998,855,732,699
"G1800850","2010",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,"Kosciusko County, Indiana",29560,1790,1169,1612,2066,1636,1689,1516,2316,1766,2799,3605,3734,1367,1060,973,462,"Kosciusko County, Indiana",1485,599,443,583,654,550,521,571,880,799,622,805,826,538,480,467,350
"G1800890","2010",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,"Lake County, Indiana",183558,16243,10442,12065,12441,9267,11539,10400,9129,8209,14686,21635,21480,12014,6949,4174,2885,"Lake County, Indiana",3352,1948,1824,1658,1729,1417,2041,1635,1486,1188,1958,2305,1937,1714,1206,886,744
"G1800910","2010",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,"LaPorte County, Indiana",42552,2924,3052,3627,3508,2347,2084,2193,2065,1834,3496,5054,5329,2318,1305,835,581,"LaPorte County, Indiana",1943,920,784,904,897,754,563,711,726,526,938,919,1074,577,470,466,399
"G1800950","2010",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,"Madison County, Indiana",50641,4720,4359,2910,2852,3071,3705,4539,2442,1781,4090,5512,5020,3209,1356,485,590,"Madison County, Indiana",1551,858,969,641,775,765,788,888,723,597,853,1036,1017,847,506,332,382
"G1800970","2010",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,"Marion County, Indiana",355438,32462,23696,28919,25653,26595,23496,20715,18547,15737,28365,30010,35799,19320,11230,8849,6045,"Marion County, Indiana",5063,2986,2549,3415,2719,2550,2526,2340,2031,1920,2670,2610,3011,1884,1556,1391,955
"G1801050","2010",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,"Monroe County, Indiana",53294,8959,4194,3477,3224,3357,2562,2582,2099,2042,3593,4713,5783,2541,1476,1401,1291,"Monroe County, Indiana",1949,1428,971,817,774,964,723,775,670,562,930,960,966,712,625,564,487
"G1801090","2010",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,"Morgan County, Indiana",24862,1438,744,1481,1373,1104,1667,1812,931,1362,2394,2895,3728,2364,804,475,290,"Morgan County, Indiana",1044,570,373,463,637,462,588,543,397,634,747,782,934,891,495,268,268
"G1801270","2010",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,"Porter County, Indiana",60859,3573,3720,2417,3146,3228,3073,2709,2993,2817,5847,5619,9637,6254,2783,2014,1029,"Porter County, Indiana",1415,1005,970,770,935,864,899,755,918,813,1094,957,1337,1055,702,576,391
"G1801410","2010",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,"St. Joseph County, Indiana",99983,8146,6613,7229,7014,6249,7263,4763,5396,4609,7363,9346,11331,6486,2657,3329,2189,"St. Joseph County, Indiana",2263,1143,1167,1293,1222,1102,1356,928,1057,992,1319,1382,1268,941,746,840,647
"G1801570","2010",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,"Tippecanoe County, Indiana",65226,6685,3515,6263,6370,3533,4526,2405,2598,2805,4305,6087,6956,4055,1719,1793,1611,"Tippecanoe County, Indiana",2061,1184,863,1195,1423,1045,1011,774,646,799,1020,1006,1130,886,608,552,541
"G1801630","2010",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,"Vanderburgh County, Indiana",75052,7073,5451,4712,4589,5597,5066,4815,3224,3371,7332,6192,9385,4022,2113,967,1143,"Vanderburgh County, Indiana",1788,1396,1067,1198,1002,1230,1156,1074,860,850,1280,1306,1422,985,687,354,489
"G1801670","2010",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,"Vigo County, Indiana",39649,4314,3274,2414,2436,3743,1779,2082,1583,2008,2857,3923,4228,1817,1530,524,1137,"Vigo County, Indiana",1620,979,893,787,776,1080,645,630,560,680,814,982,907,610,554,334,666
"G1801770","2010",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,"Wayne County, Indiana",28374,2986,2337,2390,2597,1855,1601,1652,1700,1378,1992,2951,2928,955,524,119,409,"Wayne County, Indiana",1297,690,667,842,757,488,545,587,650,448,700,801,808,445,340,121,283
"G1900130","2010",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,"Black Hawk County, Iowa",51322,3689,3678,3565,4212,3432,3399,2206,2336,2223,4610,6023,5036,2205,2071,1336,1301,"Black Hawk County, Iowa",1700,839,968,812,734,791,740,561,746,649,938,979,926,487,636,562,351
"G1900490","2010",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,"Dallas County, Iowa",25366,873,771,1168,931,1785,810,1385,1290,1050,1999,2471,3515,2765,1613,1522,1418,"Dallas County, Iowa",898,438,420,400,410,664,369,563,532,508,550,701,847,737,599,511,469
"G1900610","2010",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,"Dubuque County, Iowa",37177,1545,2061,1664,1976,3025,2128,1855,2532,1904,2917,4443,5438,3066,1274,560,789,"Dubuque County, Iowa",1339,530,697,634,599,850,715,579,802,461,709,743,935,754,488,287,409
"G1901030","2010",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,"Johnson County, Iowa",52676,4763,3177,3192,3264,2793,2246,2433,2077,2768,3670,5051,7135,3423,1890,2529,2265,"Johnson County, Iowa",1696,1081,1023,890,946,867,751,735,686,944,869,940,1019,849,605,689,714
"G1901130","2010",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,"Linn County, Iowa",87059,5384,2798,4091,4809,4113,4460,4467,4759,4159,8747,9836,12407,7694,4348,3093,1894,"Linn County, Iowa",1972,1154,751,985,1170,934,962,996,1112,1005,1464,1488,1485,1268,921,732,692
"G1901530","2010",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,"Polk County, Iowa",171055,8921,7712,7762,10126,8624,9532,8622,8627,8891,14643,18866,23682,14936,7276,7747,5088,"Polk County, Iowa",2454,1454,1257,1435,1787,1438,1743,1458,1369,1558,1668,1830,2503,1804,1274,1252,867
"G1901550","2010",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,"Pottawattamie County, Iowa",36537,2678,2498,2511,2561,1726,1570,1464,2085,1913,2709,4707,4523,3414,858,1021,299,"Pottawattamie County, Iowa",1060,752,735,731,699,548,472,522,626,601,670,973,873,779,425,364,194
"G1901630","2010",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,"Scott County, Iowa",67141,4497,4478,3457,4515,4622,3585,3657,2865,3657,5005,6218,8820,4077,3110,2472,2106,"Scott County, Iowa",1842,1003,955,1013,1068,887,827,933,932,862,891,1053,1208,815,764,770,529
"G1901690","2010",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,"Story County, Iowa",35851,3050,2296,2812,1655,2284,1373,1750,1509,2023,2969,3709,4655,2412,1400,1064,890,"Story County, Iowa",967,817,794,814,490,734,524,658,568,683,804,958,850,604,496,349,345
