GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US49057,49057,"Weber County, Utah",74158,1802,5288,1037,3064,863,3061,1063,3317,885,3067,819,4648,1139,4551,1086,4663,922,3250,792,9166,1401,8974,1259,10610,1327,4407,867,2937,713,2127,609,1028,454
0500000US50007,50007,"Chittenden County, Vermont",59596,955,1763,612,3005,749,2683,699,2557,656,2801,828,2604,730,4207,1022,2687,803,2896,1011,5651,1117,6011,1068,9762,1290,5143,879,2493,627,3050,805,2283,584
0500000US51003,51003,"Albemarle County, Virginia",37390,1016,2028,629,1766,614,928,519,1533,590,1198,581,2029,834,1886,791,2143,695,1457,708,3328,934,2860,799,5402,1000,3860,996,2531,681,2112,657,2329,605
0500000US51013,51013,"Arlington County, Virginia",91529,2121,3444,916,1498,721,1912,835,1579,759,2345,697,1788,758,3560,1279,3324,1087,1890,641,5889,1297,8464,1541,12629,2131,10578,1695,7412,1128,11550,1830,13667,1760
0500000US51015,51015,"Augusta County, Virginia",27595,1127,737,325,1329,632,1870,711,1369,589,2120,871,2160,815,1789,678,1374,868,1197,546,2126,669,3785,1016,3233,877,1959,567,906,578,1168,553,473,267
0500000US51019,51019,"Bedford County, Virginia",28159,1376,1564,661,1973,717,1261,456,1741,588,1778,632,1269,478,1497,598,1168,583,1103,493,2842,777,3489,954,4030,962,2287,678,616,281,872,466,669,408
0500000US51041,51041,"Chesterfield County, Virginia",112002,1290,2738,834,2474,957,2464,819,3007,762,3417,1024,4116,1051,5889,1361,5554,1085,5158,1067,11282,1670,14636,1525,20346,1837,12689,1615,6089,988,7165,1199,4978,989
0500000US51059,51059,"Fairfax County, Virginia",366243,2960,9807,1696,4466,999,5290,1217,5729,1277,7084,1611,7988,1841,8117,1471,11046,1589,10212,1740,20952,2523,30824,2654,49621,3322,47196,3137,37342,2829,49712,2997,60857,2817
0500000US51061,51061,"Fauquier County, Virginia",23243,1287,815,585,391,311,587,452,484,361,841,414,280,248,878,495,871,480,815,646,1249,573,2756,744,3455,787,3715,799,1796,784,2180,577,2130,552
0500000US51069,51069,"Frederick County, Virginia",26699,923,685,359,647,320,778,390,1260,615,1430,653,1183,438,1355,693,1176,412,1381,569,1776,588,3495,821,4583,941,3662,900,1704,589,1180,516,404,222
