GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US01003,01003,"Baldwin County, Alabama",68926,2888,3373,1029,2620,951,3392,1145,3576,946,4588,1190,4228,1473,3640,1264,3506,949,3468,1119,6940,1283,9070,1427,8785,1646,5856,1059,1908,803,2113,847,1863,649
0500000US01015,01015,"Calhoun County, Alabama",46640,1757,4836,803,4538,1222,2714,755,3035,840,2182,730,2597,763,3393,854,2345,767,2197,676,3771,903,4966,1236,5617,1172,2008,549,1373,489,747,379,321,225
0500000US01043,01043,"Cullman County, Alabama",30714,1387,2892,774,2472,895,2473,745,1697,607,2009,674,2410,918,1887,692,1352,423,917,448,3263,957,2761,690,3021,794,1439,604,1160,591,481,300,480,273
0500000US01049,01049,"DeKalb County, Alabama",24481,2183,2640,964,2114,889,2720,967,1594,647,2315,786,976,454,1399,627,1042,478,1321,536,2101,634,2824,929,1896,610,792,416,253,204,326,176,168,140
0500000US01051,01051,"Elmore County, Alabama",25360,1561,1711,558,1012,427,1229,503,1892,811,1310,653,1349,565,886,510,934,409,1495,627,2046,551,3685,998,3463,679,1817,553,1374,468,768,363,389,228
0500000US01055,01055,"Etowah County, Alabama",41829,1574,4223,1060,3244,811,2658,673,2790,821,3521,924,2860,821,2491,752,1792,582,2046,771,2589,789,3846,924,4317,861,2943,817,832,364,906,403,771,288
0500000US01069,01069,"Houston County, Alabama",36881,1052,3412,508,2393,460,2373,457,2796,426,2054,458,2208,481,2096,394,2247,474,1281,252,2815,612,4396,618,3596,508,2141,407,1185,330,1052,256,836,230
0500000US01073,01073,"Jefferson County, Alabama",264249,4103,20643,2157,17217,1900,17008,2215,17050,2380,15670,2092,15282,2094,12566,2173,12391,1773,13011,1831,22227,2079,23918,2227,30318,2774,18035,2012,8892,1407,9890,1456,10131,1313
0500000US01077,01077,"Lauderdale County, Alabama",37113,1435,4128,1019,3754,1082,2634,798,1730,727,2744,809,2954,819,1512,594,1561,607,1618,666,2160,784,3623,1007,3707,886,3048,887,1119,555,465,277,356,325
0500000US01081,01081,"Lee County, Alabama",55986,1846,7115,1255,3661,1017,4636,1081,4214,1036,3073,843,2029,635,2347,750,1772,520,2980,971,4437,1029,7020,1277,5380,1132,2738,710,1450,445,1557,532,1577,562
0500000US01083,01083,"Limestone County, Alabama",25984,969,1660,582,1505,591,1400,467,1685,667,1309,494,1708,636,1629,610,1973,801,1248,547,2641,782,2262,690,2269,690,2190,601,881,404,902,422,722,354
0500000US01089,01089,"Madison County, Alabama",127342,3111,8320,1385,6381,1310,6095,1328,6590,1062,5918,1198,6710,1454,5283,1211,6047,1173,5694,1101,10911,1533,14281,1758,15285,1938,12398,1630,6532,1223,6159,1189,4738,1030
0500000US01095,01095,"Marshall County, Alabama",32519,1478,4049,962,3486,884,1794,598,2094,743,2822,957,1909,831,2204,903,1052,430,1382,625,1762,639,3082,715,3017,669,1619,603,1146,452,300,257,801,433
0500000US01097,01097,"Mobile County, Alabama",160153,2968,18030,2065,10218,1776,10659,1591,9801,1507,9156,1618,10401,1435,9294,1721,9557,1611,7641,1458,12922,1720,13196,1840,18008,2257,9449,1588,4524,959,3587,831,3710,1015
0500000US01101,01101,"Montgomery County, Alabama",89106,2777,8352,1440,6914,1443,6086,1264,6196,1381,4744,1174,4384,1068,4401,1299,4821,1117,3015,912,6635,1191,8539,1269,10181,1665,5770,1129,3392,767,2803,812,2873,779
0500000US01103,01103,"Morgan County, Alabama",45520,1275,2795,842,2512,715,3478,941,3404,1042,2053,722,2861,837,1952,674,3245,871,1456,506,3874,950,4462,1061,5905,1092,3733,969,1219,502,1667,614,904,367
0500000US01115,01115,"St. Clair County, Alabama",27129,1656,2602,928,1894,700,1544,614,1877,901,1078,441,1563,538,1374,636,1168,535,945,528,4235,1154,2313,722,3142,906,1695,634,747,380,340,248,612,453
